// Move to data/assets_data.csv
asset_id,category,type,state,city,condition,purchase_date,last_maintenance_date,next_maintenance_due,usage_hours,assigned_officer,remarks,serial_number,caliber,ammunition_count,assigned_unit,ip_address,firmware_version,os_version,vendor,warranty_expiry,license_plate,fuel_type,assigned_station,mileage_km,battery_health,connectivity,storage_capacity
EQP590283,ICT Assets,Fortinet Firewall,Johor,Johor Bahru,Needs Action,2023-01-07,2023-04-29,2024-03-18,3296.0,Normah,Battery replacement needed,,,,,192.168.136.69,v1.7.0,v9.1,Fortinet,2027-05-14,,,,,,,
PDM340806,ICT Assets,iPad Tablet,Pahang,Jerantut,Damaged,2020-10-25,2021-01-20,2021-10-15,5648.0,Suraya,Firmware outdated,,,,,192.168.2.126,v4.2.8,v12.0,Apple,2025-05-01,,,,,,,
AST182939,ICT Assets,Linux RHEL Server,Selangor,Klang,Good,2018-01-07,2018-08-06,2019-03-19,2502.0,Nurul,Camera lens scratched,,,,,172.16.120.4,v1.7.6,v11.4,Red Hat,2021-08-11,,,,,,,
EQP261907,Vehicles,Proton Wira,Kedah,Kulim,Needs Action,2019-07-12,2020-06-12,2021-02-03,,Farid,Regular inspection due,,,,,,,,,,WB 7464 G,Diesel,Kulim District Office,60984.0,,,
EQP386923,Weapons,Revolver .38 Special,Melaka,Ayer Keroh,Damaged,2024-05-05,2025-02-05,2025-08-19,922.0,Hakim,Engine overheating,VO600046,9mm,18.0,Cybercrime Unit,,,,,,,,,,,,
PDM215020,ICT Assets,iPad Tablet,Johor,Muar,Damaged,2022-07-15,2023-04-07,2023-10-11,4399.0,Halimah,Requires software upgrade,,,,,192.168.212.34,v1.5.4,v12.5,Apple,2026-02-08,,,,,,,
AST495509,Vehicles,Toyota Hilux,Negeri Sembilan,Seremban,Good,2025-08-28,2025-08-01,2026-04-06,,Ahmad Faiz,Storage capacity low,,,,,,,,,,TR 8400 E,Petrol,Seremban District Office,113226.0,,,
EQP791456,Weapons,Revolver .38 Special,Putrajaya,Presint 8,Good,2024-02-10,2024-05-11,2025-01-22,3956.0,Mansor,Firmware outdated,BN907048,.38 Special,173.0,Anti-Vice Unit,,,,,,,,,,,,
AST637395,Weapons,Baton,Johor,Skudai,Good,2023-02-13,2023-06-08,2023-09-28,2779.0,Baharuddin,Regular inspection due,QQ934213,9mm,102.0,Narcotics Division,,,,,,,,,,,,
EQP545414,Weapons,MP5,Terengganu,Kuala Terengganu,Good,2020-07-13,2021-06-25,2021-12-07,966.0,Aminah,Network connectivity issues,DG517203,.22 LR,15.0,Criminal Investigation,,,,,,,,,,,,
